,count,mean,std,min,25%,50%,75%,max
MI_dir_L5_weight,555932.0,4.100359267209624,11.335831131943387,1.0,1.000000274,1.250401753,2.730703991,234.0559649
MI_dir_L5_mean,555932.0,122.95554264098391,115.11946476537456,60.0,66.0,78.0,102.0,1452.697092
MI_dir_L5_variance,555932.0,5084.032040562791,24505.545396188667,0.0,9.09e-13,8.13e-05,39.9232735175,491805.7871
MI_dir_L3_weight,555932.0,4.735972273283069,14.679315290073127,1.0,1.0001607015,1.4997388694999998,2.9661414445,287.6105058
MI_dir_L3_mean,555932.0,123.02322870453024,113.16817260473857,60.0,66.0,79.94423151999999,105.88537395,1450.730015
MI_dir_L3_variance,555932.0,5270.710518966036,24632.456686942336,0.0,3.53e-10,0.080838208,106.82390195,478981.5916
MI_dir_L1_weight,555932.0,6.262934113399019,22.501376564995716,1.0,1.114056709,1.9999870415,3.0614185757500003,448.2115914
MI_dir_L1_mean,555932.0,123.7885490341911,109.06224503836947,60.0,66.0353096475,82.52903678999999,116.299885,1434.055603
MI_dir_L1_variance,555932.0,6038.2809414427575,24171.177211890612,0.0,0.0823746155,33.950879025,976.500338475,479417.2269
MI_dir_L0.1_weight,555932.0,14.415246125943627,36.08989793547189,1.0,3.3531823845,6.956387476,11.025616750000001,704.0728095
MI_dir_L0.1_mean,555932.0,127.24624789562834,93.78205142066263,60.0,72.3174779525,86.533894785,151.73355245,1401.993695
MI_dir_L0.1_variance,555932.0,10669.729698985142,26208.236919835825,0.0,184.271338225,506.02408305,14922.2539425,452001.0916
MI_dir_L0.01_weight,555932.0,69.81103904090853,65.19436111126221,1.0,28.260550977500003,38.123915695,100.13117165,849.0143801
MI_dir_L0.01_mean,555932.0,125.80560523730645,85.26678008526446,60.0,73.642232345,91.73232569,150.2711846,1383.835587
MI_dir_L0.01_variance,555932.0,13680.323855485587,24516.92065185043,0.0,353.8989853,1788.625176,23479.452105,454103.6288
H_L5_weight,555932.0,4.100366111948144,11.335829783790766,1.0,1.000000274,1.2504249029999999,2.73071261775,234.0559649
H_L5_mean,555932.0,122.95557831609258,115.11953092447982,60.0,66.0,78.0,102.0,1452.697092
H_L5_variance,555932.0,5084.036784584279,24505.544559096124,0.0,9.09e-13,8.13e-05,39.938949745,491805.7871
H_L3_weight,555932.0,4.735982231590924,14.679313577298965,1.0,1.00016086575,1.499792084,2.9661623475,287.6105058
H_L3_mean,555932.0,123.02330579947333,113.16832313505056,60.0,66.0,79.94423151999999,105.88537395,1450.730015
H_L3_variance,555932.0,5270.723529607244,24632.45492878001,0.0,3.58e-10,0.08083963999999999,106.836277825,478981.5916
H_L1_weight,555932.0,6.262955074491171,22.501373260399628,1.0,1.11407252825,1.9999870855,3.0614435985,448.2115914
H_L1_mean,555932.0,123.7888026690943,109.06277601829775,60.0,66.0353096475,82.52903678999999,116.299885,1434.055603
H_L1_variance,555932.0,6038.320724083923,24171.1736883335,0.0,0.0825292015,33.954800410000004,976.820022225,479417.2269
H_L0.1_weight,555932.0,14.41545975468879,36.08982631257108,1.0,3.3534574995,6.956387476,11.025616750000001,704.0728095
H_L0.1_mean,555932.0,127.24624455240755,93.7782429833226,60.0,72.3174779525,86.533894785,151.73355245,1401.993695
H_L0.1_variance,555932.0,10670.170961257896,26208.152369833075,0.0,184.31287215,506.14269390000004,14922.636592500001,452001.0916
H_L0.01_weight,555932.0,69.81285050589617,65.19252749981139,1.0,28.260550977500003,38.123915695,100.13117165,849.0143801
H_L0.01_mean,555932.0,125.80353616699672,85.24902299207834,60.0,73.642232345,91.73221239,150.2711846,1383.835587
H_L0.01_variance,555932.0,13681.244360550438,24516.62634734049,0.0,353.939848,1791.2467215,23479.452105,454103.6288
HH_L5_weight,555932.0,3.632857011881208,10.855007487795612,1.0,1.0,1.00000006,1.8855882935,225.5603092
HH_L5_mean,555932.0,123.27690186429612,116.50247479472104,60.0,66.0,76.0,102.0,1470.0
HH_L5_std,555932.0,21.82645017556242,65.3164008032242,0.0,0.0,0.0,0.2998976775,688.5029949
HH_L5_magnitude,555932.0,186.43404298796878,165.98127140075383,60.0,96.11899885,122.3315153,186.788288975,1869.275184
HH_L5_radius,555932.0,16943.480076965236,62752.45820323114,0.0,0.0,4.27e-09,59.91273885,624198.2986
HH_L5_covariance,555932.0,-898.4006450315103,7533.088368756458,-284888.6206,-1.5325e-67,0.0,4.2375e-130,365868.442
HH_L5_pcc,555932.0,-0.0035476410364946006,0.12638211003376293,-1.497787481,0.0,0.0,0.0,2.002652273
HH_L3_weight,555932.0,4.174028900253345,13.8442508799505,1.0,1.0,1.0000605615,1.98435066475,275.3971286
HH_L3_mean,555932.0,123.39467519480849,115.13115801048477,60.0,66.0,78.29712407,104.2046889,1470.0
HH_L3_std,555932.0,22.63779920316153,65.68406147700459,0.0,0.0,9.54e-07,2.1148654550000003,692.0849598
HH_L3_magnitude,555932.0,187.0166566636622,165.0591098624974,60.0,102.120194025,122.3309125,185.410622575,1799.115026
HH_L3_radius,555932.0,17684.720371510368,64383.05452222537,0.0,0.0,0.0003113945,149.4497503,636532.0299
HH_L3_covariance,555932.0,-1086.427870158156,8172.285475290688,-267051.4816,-1.0600000000000001e-35,0.0,1.9199999999999998e-69,432779.7548
HH_L3_pcc,555932.0,-0.004432674142715044,0.135766454184625,-1.613910774,0.0,0.0,0.0,2.197595667
HH_L1_weight,555932.0,5.314325510007373,20.56387585500611,1.0,1.000000003,1.0639612095,2.039545186,409.7914041
HH_L1_mean,555932.0,123.58099815434213,113.31225454484121,60.0,66.0000094,81.50890681,110.0,1470.0
HH_L1_std,555932.0,25.164517644831424,66.55977617212343,0.0,1.35e-06,0.0228571865,8.919362631999999,692.4021508
HH_L1_magnitude,555932.0,187.01024566794675,162.63471504040277,60.0,104.6518036,122.1040724,179.0,1470.0
HH_L1_radius,555932.0,18426.92798182191,64832.430113582406,0.0,2.88e-12,5.328633276,342.00198275,629218.7319
HH_L1_covariance,555932.0,-1308.2574442085393,8661.546413979202,-252642.6408,-4.79e-08,0.0,3.7725e-22,472269.6851
HH_L1_pcc,555932.0,-0.003919653434355416,0.15629985320219886,-1.654264164,-2.41e-06,0.0,6.9125e-18,2.422158497
HH_L0.1_weight,555932.0,9.825368774764,31.9472897729559,1.0,1.2132734365,2.4284931309999997,8.096281427249998,639.2974831
HH_L0.1_mean,555932.0,124.45615243030727,111.94665503435618,60.0,69.36972893250001,78.286647305,110.0,1470.0
HH_L0.1_std,555932.0,35.39274512669342,71.20974274223893,0.0,0.0030009752499999998,12.816502620000001,24.453398055,678.4579625
HH_L0.1_magnitude,555932.0,184.281005455809,153.12427041167206,60.0,103.06025375,118.804339,196.6155239,1470.0
HH_L0.1_radius,555932.0,18934.79368931957,59796.90109456425,0.0,0.00012415375000000001,315.61593265,828.212156025,541081.6893
HH_L0.1_covariance,555932.0,-1150.9891441263655,7659.525850988882,-259668.1923,-1.445458906,0.0,5.36733062175,406798.3139
HH_L0.1_pcc,555932.0,0.030106658269655216,0.212047626275522,-1.586467025,-0.018979087749999998,0.0,0.0460902765,2.656716158
HH_L0.01_weight,555932.0,36.47537793979725,51.63901073989741,1.0,6.200598815,13.23428987,74.88842302750001,748.248042
HH_L0.01_mean,555932.0,125.01268840216892,111.90562535182434,60.0,71.58432328,82.90186779000001,128.820560775,1470.0
HH_L0.01_std,555932.0,46.13900889657372,75.09409590919924,0.0,6.01566001875,18.978262344999997,32.1461640075,678.4363454
HH_L0.01_magnitude,555932.0,182.69427933007162,145.54423654745491,60.0,105.9142324,117.496685,226.32203015,1470.0
HH_L0.01_radius,555932.0,20083.066191961152,53292.172282090316,0.0,49.742663825,513.69298155,4393.12747425,480567.073
HH_L0.01_covariance,555932.0,15.853096331544213,5396.934826988163,-118201.7712,-5.57e-29,0.054622543499999995,54.8371278975,144281.5376
HH_L0.01_pcc,555932.0,0.08138438555154018,0.2520598130030499,-1.691353812,0.0,0.0033842430000000003,0.103131323,2.703680465
HH_jit_L5_weight,555932.0,3.632857011881208,10.855007487795612,1.0,1.0,1.00000006,1.8855882935,225.5603092
HH_jit_L5_mean,555932.0,3133924.9275845774,64103258.77552601,0.0064879,1.86687454,8.293586224,29.8196665,1534252756.0
HH_jit_L5_variance,555932.0,621867060916541.2,1.4602233796751318e+16,0.0,0.0,1.26e-06,1.92394534375,5.88e+17
HH_jit_L3_weight,555932.0,4.174028900253345,13.8442508799505,1.0,1.0,1.0000605615,1.98435066475,275.3971286
HH_jit_L3_mean,555932.0,3277465.510495847,64567418.79149434,0.010171128,2.1019173542500003,9.7206810805,29.9504536975,1534252756.0
HH_jit_L3_variance,555932.0,779035409416632.6,1.641449427659568e+16,0.0,0.0,0.000860509,3.26181546525,5.88e+17
